"Nom","Adresse 1","Adresse 2","Code postal","Ville","TÈlÈphone 1","TÈlÈphone 2","Fax","NAF","SIRET","Effectif","Responsable","ActivitÈ"
"NATIONAL CLOTURE","CLOS DU ROCHER Z.I. PLAINE DU CA","164 AVENUE RIGAOU","13830","ROQUEFORT LA BEDOULE","0442017582","","","4791B","83918588100043","6 ‡ 9","JEANNIN JORDAN","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LE FER PLAIT","","87 ROUTE ST LEU","95600","EAUBONNE","0130400881","","","4791B","49369179400025","3 ‡ 5","PRAUD WILFRIED","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"DELZIA","ZAC DE SIAILLE","ROUTE SIAILLE","47240","CASTELCULIER","0644604420","","","4791B","78992267100035","3 ‡ 5","DARRACQ KATIA","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"AZOU & JUDY'S","","80 RUE VICTOR HUGO","60100","CREIL","0633766338","","","4791B","81150488500013","3 ‡ 5","ABITO JUDITH","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"TRIMO BARBERS","","15 RUE MISS EDITH CAWELL","60100","CREIL","0633766338","","","4791B","81150488500013","3 ‡ 5","ABITO JUDITH","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ASMAE CAPILLAIRES","","12 RUE NAPLES","75008","PARIS","0638044183","","","4791B","81277186300030","3 ‡ 5","SARL DE BEAUFORT","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"CUBANO HAIR","","90 RUE ST BLAISE","75020","PARIS","0626808978","","","4791B","83827230000024","3 ‡ 5","Noubissi Djangue LEONEL","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"VELVETY HAIR","","8 RUE BOURG L'ABBE","75003","PARIS","0171275419","","","4791A","84481789000032","6 ‡ 9","TRAORE N'GOLO","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"SJ SALON DE COIFFURE COSMOPOLITE","","16 AVENUE DIVISION LECLERC","95170","DEUIL LA BARRE","0633766338","","","4791B","81150488500013","3 ‡ 5","ABITO JUDITH","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LE GRENIER D'ANAIS","","54 RUE PEYROLIERES","31000","TOULOUSE","0562300716","","","4779Z","33884827800119","20 ‡ 49","PELAMOURGUES ANAIS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LE LIVRE VERT","","210 AVENUE DOCT SCHINAZI","33300","BORDEAUX","0533510953","","","4791B","79493089100021","20 ‡ 49","FESQUET NICOLAS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LA RESSOURCERIE DE L'ILE","","98 RUE BASSE ILE","44400","REZE","0228236447","","","4779Z","48897245600039","20 ‡ 49","LA RESSOURCERIE DE L ILE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CY CLOPE","","ZI PETITE DIMERIE","62310","FRUGES","0970241248","","","4791B","81070174800016","10 ‡ 19","SIRIUS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"FNAC BIGANOS","PARC COMMERCIAL LES PORTES DU DE","5 RUE LOUIS NICOLAS ROBERT","33380","BIGANOS","0556265917","","","4779Z","80161774700028","6 ‡ 9","EC BIGANOS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"SALON DE LYON","ESPACE TETE D'OR DE LYON","103 BOULEVARD STALINGRAD","69100","VILLEURBANNE","0479852485","","0479854540","4791B","42051744300016","3 ‡ 5","CLAUDEL REMI","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ALTERNA COM'","","41 RUE CHEMIN VERT","75011","PARIS","0155280066","","","4791A","44022284200021","50 ‡ 99","Taugourdeau MATHIEU","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"MATELPRO","","2 RUE TERRE AUX PAVES","08600","GIVET","0366722898","","0324373485","4791B","49933876200028","10 ‡ 19","HOMETRADING","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"D T O","","11 ROUTE SEVERAC","12850","ONET LE CHATEAU","0565789826","","","4779Z","40435846700029","10 ‡ 19","DUREMORD JEROME","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"S26 GROUPE","ZONE DES AUREATS","90 AVENUE MARSEILLE","26000","VALENCE","0475416403","","","4779Z","40450042300029","3 ‡ 5","ROCA CEDRIC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"OCABURO SA","","RUE PILIERS DE LA CHAUVINIERE","44800","ST HERBLAIN","0240948016","","","4779Z","32779688400010","10 ‡ 19","OCABURO","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CY CLOPE","","13 RUE GEORGES AURIC","75019","PARIS","0970241248","","","4791B","81070174800016","10 ‡ 19","SIRIUS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"EASY CASH","ZAC ANTHY MARGENCEL","20 AVENUE PRE ROBERT NORD","74200","ANTHY SUR LEMAN","0450703703","","","4779Z","40540214000033","6 ‡ 9","COUTURIER CHRISTIAN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GUERRISOL","","111 AVENUE REPUBLIQUE","93300","AUBERVILLIERS","0141570013","","","4779Z","44184830600342","50 ‡ 99","GUERRIDA MOHAMED","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MILLON","","51 RUE BEAUMONT","06300","NICE","0493623775","","","4779Z","83515806400047","3 ‡ 5","MILLON PERSPECTIVES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AIX LUBERON ENCHERES","","7 CHEMIN VIERGE NOIRE","13090","AIX EN PROVENCE","0442525270","","0442592912","4779Z","82448328300019","6 ‡ 9","HOURS EMMANUELLE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ADJUG'ART QUIMPER  MAITRES LE GRIGNOU & COSQUE","","105 AVENUE KERRIEN","29000","QUIMPER","0298529797","","","4779Z","83024531200020","3 ‡ 5","COSQUERIC YVES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ADJUG'CJ QUIMPER  MAITRES LE GRIGNOU ET COSQUE","","105 AVENUE KERRIEN","29000","QUIMPER","0298529797","","","4779Z","83024531200020","3 ‡ 5","COSQUERIC YVES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CARRERE & LABORIE","","17 AVENUE GEN DE GAULLE","64000","PAU","0559847272","","","4779Z","44155988700035","6 ‡ 9","CARRERE PATRICE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ADER","","3 RUE FAVART","75002","PARIS","0153407710","","0153407720","4779Z","45050070700028","20 ‡ 49","Dominique XAVIER","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ETUDE TAJAN","","37 RUE MATHURINS","75008","PARIS","0153303030","","0153303031","4779Z","39818229500012","20 ‡ 49","TAJAN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HOTEL DES VENTES DU TARN SARL","","39 PLACE PIERRE FABRE","81100","CASTRES","0563712728","","","4779Z","51399615700022","3 ‡ 5","AMIGUES PHILIPPE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HOTEL DES VENTES","","3 BOULEVARD PONT NEUF","89100","SENS","0386645287","","","4779Z","48491965900025","3 ‡ 5","DUPLESSIS PHILIPPE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MILLON","","116 BOULEVARD LOUIS ARMAND","93330","NEUILLY SUR MARNE","0609958330","","","4779Z","44293609200026","50 ‡ 99","MILLON ALEXANDRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BERARD  PERON","","4 QUAI JULES COURMONT","69002","LYON","0428706428","","","4779Z","44242559100041","6 ‡ 9","BERARD ANTOINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BERARD PERON SARL","","18 BOULEVARD NATIONS","69960","CORBAS","0428706428","","","4779Z","44242559100041","6 ‡ 9","BERARD ANTOINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ADER & NORDMANN","","20 AVENUE MOZART","75016","PARIS","0178910056","","","4779Z","45050070700044","20 ‡ 49","Dominique XAVIER","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ALDE","","1 RUE FLEURUS","75006","PARIS","0145490924","","0145490930","4779Z","48991564500019","3 ‡ 5","DELCAMP JEROME","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"COPAGES AUCTION DROUOT","","5 RUE PROVENCE","75009","PARIS","0140069157","","","4779Z","30704622700053","3 ‡ 5","COPAGES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MILLION","","RUE FRANKLIN","92600","ASNIERES SUR SEINE","0632338710","","","4779Z","44293609200034","50 ‡ 99","MILLON ALEXANDRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"FRANCE CADENAS","ZONE ACTIPOLE","BATIMENT F 130 AVENUE JOSEPH KESSEL","78960","VOISINS LE BRETONNEUX","0184164842","","","4791A","49812362900038","10 ‡ 19","GRENETTE PIERRE","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"STRATEGICOM","BP 474","3 RUE JARDIN BOTANIQUE","27000","EVREUX","0153303030","","0153303031","4779Z","39818229500012","20 ‡ 49","TAJAN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LILIANNE FRETTE COMMUNICATION","","16 RUE BANQUE","75002","PARIS","0142566060","","","4791A","32915184900059","3 ‡ 5","CHAMATEX GROUP","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"DC AGENCY","","84 AVENUE PAUL VAILLANT COUTURIER","94400","VITRY SUR SEINE","0950739374","","","4791B","84515458200041","10 ‡ 19","BOUDJEMAA OUALID","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LENON","","427 CHEMIN ST JULIEN","06410","BIOT","0493342617","","","4791B","45158348800031","6 ‡ 9","LENON","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"SYNERGY PREM1UM BUSINESS SAS","","48 LES BOULEAUX","67530","BOERSCH","0967469783","","","4791A","81313924300014","3 ‡ 5","GILGER NATHALIE","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"ACILYON","","150 RUE PAUL BERT","69003","LYON","0426030540","","","4791B","45294738500038","10 ‡ 19","ACILYON DEVELOPPEMENTS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"PHOENIX","","565 ALLEE CASSAGNE","84130","LE PONTET","0767357400","","","4791B","52147066600038","3 ‡ 5","BARIKA AKIM","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LJKL TECHNIQUES PISCINES","ZA LA TIGNONNIERE","26 RUE GITE AUBIGNY","85430","AUBIGNY LES CLOUZEAUX","0251345825","","","4791B","51912083600068","10 ‡ 19","HOLDING MSC","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"MYGIFT","","103 AVENUE MAR DE SAXE","69003","LYON","0478955949","","","4791A","81430053900016","10 ‡ 19","Financi√®re Lys","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"POLE COMMERCE","","28 RUE MOLIERE","69006","LYON","0983917163","","","4791B","52961285500039","3 ‡ 5","HORIZON","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"PRUNE ET MANGUE","","1 RUE VERGERS","69760","LIMONEST","0437378829","","","4791B","49474711600031","3 ‡ 5","ALLIANCE 97","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"AQUARELLE","","RUE LOUIS FREMONT","60810","BRASSEUSE","0185690000","","","4791B","41999825700036","50 ‡ 99","CLARISSE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"RICARDO FRANCE","","1300 ROUTE CRETES","06560","VALBONNE","0492988734","","","4791A","42095678100074","20 ‡ 49","FLORENT SEBASTIEN","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"TOUT POUR PHONE","","10 RUE PAULE RAYMONDIS","31200","TOULOUSE","0534326190","","","4791A","53272400200045","10 ‡ 19","DU PUY DE GOYNE ALEXIS","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"PLANETE AIR","","21 RUE GEORGES LESIEUR","33300","BORDEAUX","0557817722","","","4791B","48254987000053","10 ‡ 19","BESSEYRE DES HORTS HERVE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"ALSACE SAVEURS","","21 RUE ROMAINS","68630","BENNWIHR","0389490049","","0389479160","4791A","43944427400021","6 ‡ 9","WAGNER FANNY","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"HAPPY TROC","ZAC BEAULIEU EST","21 RUE 8 MAI","17138","PUILBOREAU","0546353761","","","4779Z","81930512900010","6 ‡ 9","GUIGNARD NICOLAS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROCCOM ROMANS","","12 AVENUE ALLOBROGES","26100","ROMANS SUR ISERE","0475728444","","0475728440","4779Z","81131797300014","3 ‡ 5","MEFTA MATHIEU","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LBP 31","","69 CHEMIN BORDENEUVE","32600","SEGOUFIELLE","0767111397","","","4779Z","85017728800030","3 ‡ 5","COLLARERA MELANIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROCANTONS","","ROUTE DE BONNEUVRE LE BOIS MADAME","44540","ST MARS LA JAILLE","0240977855","","","4779Z","41138362300021","20 ‡ 49","TROCANTONS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BIGUES BENNES","","10 RUE THIMONNIER","75009","PARIS","0149959542","","","4779Z","38950007500020","3 ‡ 5","VINDEVOGEL STEPHANIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"A B M","","25 RUE LECUYER","93400","ST OUEN","0140122611","","","4779Z","39923316200045","3 ‡ 5","MARI DELGADO MARIA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BROC PASCAL","","2 Bis RUE CIMETIERE","95270","ASNIERES SUR OISE","0139903224","","","4779Z","53209557700021","3 ‡ 5","PICHLER PASCAL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"A LA RECHERCHE DU TEMPS PERDU","","4 AVENUE JEAN MERMOZ","14390","CABOURG","0231866573","","","4779Z","32090261200045","6 ‡ 9","ROBIN GHISLAINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MATHILDE LABROUCHE","","BAT 000 B1377 LIEU DIT DOUTEAU","17130","MESSAC","0546864744","","","4779Z","40001992300038","3 ‡ 5","LABROUCHE MATHILDE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"RENDEZ VOUS STORE","","12 RUE TOLOSANE","31000","TOULOUSE","0561120532","","","4791A","81123663700054","6 ‡ 9","LLORENS MARC","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"DEMENAGEMENT LE GULUCHE","","12 A RUE RICHARD DUFOUR","76770","LE HOULME","0606772194","","","4779Z","47906065900048","3 ‡ 5","BERTRAND NICOLAS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"SOPHIE LABORDE","","180 AVENUE DENIS PAPIN","33260","LA TESTE","0557528294","","","4779Z","41889959700029","3 ‡ 5","MARBAIX MARC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CAMPOY","","30 ROUTE MARCILLY","69380","LISSIEU","0488693693","","","4791A","38306468000044","10 ‡ 19","CAMPOY THIBAUT","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"SOS ACCESSOIRE","","6 AVENUE LOUIS PASTEUR","78310","MAUREPAS","0892430540","","","4791B","49963740300050","20 ‡ 49","GUYON DE MONTLIVAULT OLIVIER","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"COMPAGNONS D'EMMAUS","","3 LES BARAQUES","02140","ST GOBERT","0323983198","","","4779Z","34776617200014","6 ‡ 9","EMMAUS LIBERTE LES BARAQUES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","","PARC COMMERCIAL PORTES DE SOISSO ROND POINT ARCHER","02200","VAUXBUIN","0323538453","","","4779Z","79532672700018","6 ‡ 9","FURACAS FREDERIC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROC 03","","62 AVENUE AMBROISE CROIZAT","03410","DOMERAT","0470084340","","0470084343","4779Z","42037813500016","3 ‡ 5","PONCIN JEAN-MARC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ASSOCIATION LES FILS D AR","","16 AVENUE VERDUN","04000","DIGNE LES BAINS","0492320715","","","4779Z","44474729900030","50 ‡ 99","ASSOCIATION LES FILS D ARIANE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","12 RUE VENIZELOS","06400","CANNES","0961656134","","","4779Z","80236952000050","10 ‡ 19","DURET ANTHONY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH EXPRESS","","866 ROUTE NATIONALE 7","06270","VILLENEUVE LOUBET","0493220949","","","4779Z","81539706200028","3 ‡ 5","DURVILLE REGIS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE GISMONDI","","4 RUE ST ESPRIT","06600","ANTIBES","0422100650","","","4779Z","33755679900076","10 ‡ 19","Gismondi SABRINA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GISMONDI GALERIES","","3050 AVENUE JEAN MICHARD PELISSIER","06600","ANTIBES","0493744979","","","4779Z","33755679900050","10 ‡ 19","Gismondi SABRINA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"OPEN TROC","","4 BOULEVARD OLI","06340","LA TRINITE","0493279634","","","4779Z","35254417500016","3 ‡ 5","JURY BLANDINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"SORBONNE BOUQUINERIE","","13 RUE LYCEE","06000","NICE","0489741994","","","4779Z","40207213600060","3 ‡ 5","SEYRAT PHILIPPE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA TROCANTE NARBONNE","","14 AVENUE CHAMP DE MARS","11100","NARBONNE","0468418489","","0468418493","4779Z","51526199800014","3 ‡ 5","DAIRE FLORENT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PLANET CASH","","RUE RENE PANHARD","11100","NARBONNE","0468407489","","","4779Z","49302806200013","3 ‡ 5","ROUAULT MICHEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ASSOCIATION EMMAUS","","2 BOULEVARD GEORGES CLEMENCEAU","13004","MARSEILLE","0484332436","","","4779Z","39952459400054","50 ‡ 99","EMMAUS POINTE ROUGE MARSEILLE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BEBES TROQUEURS","ZA FOURCHON","RUE GERARD GADIOT","13200","ARLES","0490499102","","","4779Z","43837462100037","3 ‡ 5","VAILLANT VALERIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","31 RUE MIGNET","13100","AIX EN PROVENCE","0442261034","","","4779Z","80258768300029","3 ‡ 5","VAN DEUREN CEDRIC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH EXPRESS SAINT MITRE","ZAC DE L'ETANG","AVENUE PEUPLIERS","13920","ST MITRE LES REMPARTS","0486641194","","","4779Z","79482528100015","3 ‡ 5","NAVARRO YANNICK","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROCCOM MARSEILLE  MALPASSE","","4 BOULEVARD GUEIDON","13013","MARSEILLE","0491665656","","0491662211","4779Z","38853419000029","3 ‡ 5","FABRE BASTIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROCCOM CAEN  CARPIQUET","","6 RUE BELLEVUE","14650","CARPIQUET","0231575050","","0231575051","4779Z","49974415900017","3 ‡ 5","TUTIN PATRICK","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA CAVERNE DU DENICHEUR","","15 PLACE GARE","16470","ST MICHEL","0619420228","","","4779Z","39192296000029","3 ‡ 5","CORMERAIS JOSETTE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","","19 AVENUE FOURNEAUX","17690","ANGOULINS","0546563636","","","4779Z","48193539300019","10 ‡ 19","MARTINS ALEXANDRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HAPPY CASH","","18 RUE JUIN","17138","PUILBOREAU","0546681501","","0546681509","4779Z","41216234900010","6 ‡ 9","LEBERT PASCAL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA TROCANTE","","38 RUE ANTOINE DE LAVOISIER","17200","ROYAN","0546027922","","","4779Z","51905553700012","6 ‡ 9","KOVACS SERGE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROCCOM SAINTES","ZI CHARRIERS ENSEMBLE","9 RUE BRANDES","17100","SAINTES","0546977026","","0546980045","4779Z","84290281900015","3 ‡ 5","KOVACS SERGE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ACDV","","16 AVENUE ANDRE MALRAUX","19100","BRIVE LA GAILLARDE","0555872004","","","4779Z","79476722800016","3 ‡ 5","HENRIQUES EDOUARD","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"STEINITZ SARL","","LE VARISSOU","19470","LE LONZAC","0555982708","","","4779Z","51103229400064","20 ‡ 49","STEINITZ BENJAMIN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ALAIN BERGER","","18 RUE MAUFOUX","21200","BEAUNE","0380225328","","","4779Z","32479283700035","3 ‡ 5","BERGER ALAIN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GRAGLIA","","21 RUE MAUFOUX","21200","BEAUNE","0380222350","","","4779Z","31059662200046","3 ‡ 5","GRAGLIA MICHEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MAD VINTAGE","","14 RUE LIBERTE","21000","DIJON","0380411999","","","4779Z","89014918000055","20 ‡ 49","CASIEZ EUGENIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH JERZUAL CASH","","ZA 4 ROUTES","22100","QUEVERT","0296876585","","0296876584","4779Z","53139615800010","6 ‡ 9","JEBERO","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROC COM","ZONE COMMERCIALE DU RUSQUET","RUE JEAN JACQUES AUDUBON","22300","LANNION","0296465546","","","4779Z","44155542200035","3 ‡ 5","GELEBART GUYLAINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","","QUARTIER LAYE","26320","ST MARCEL LES VALENCE","0475850850","","","4779Z","49924842500013","10 ‡ 19","LA-JMVH","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TREMPLIN HORIZON","","64 RUE CHENES","26240","LAVEYRON","0475317649","","","4779Z","51897513100021","20 ‡ 49","TREMPLIN HORIZON","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","","ROUTE NATIONALE 13","27930","LE VIEIL EVREUX","0232280703","","","4779Z","83985127600015","6 ‡ 9","MARISCAL GUILLAUME","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE RENOS XIPPAS","ZA MANTES HORIZON 20 BAT ENS","CHEMIN MANTES","27120","PACY SUR EURE","0232626737","","","4779Z","32416611500034","10 ‡ 19","XIPPAS RENOS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AU VIDE GRENIER DREUX","","4 BOULEVARD EUROPE","28500","VERNOUILLET","0780247401","","","4779Z","89465976200013","3 ‡ 5","MOLITOR CHRISTOPHE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","14 RUE HENRY POTEZ","28100","DREUX","0237464782","","","4779Z","79102290800010","6 ‡ 9","FOURNIER FABIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","","41 ROUTE LOCH","29000","QUIMPER","0298987878","","0298956821","4779Z","51178000900011","6 ‡ 9","L2B","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TI MIC MAC","","ROUTE DE L'ESPERANCE","29600","ST MARTIN DES CHAMPS","0298639336","","","4779Z","84830731000013","6 ‡ 9","LE REST BASTIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"JET RAG","","3 RUE CUJAS","31000","TOULOUSE","0561622321","","","4779Z","52861765700010","3 ‡ 5","ABENHAIM YANN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LE TROC","","72 RUE JACQUES BABINET","31100","TOULOUSE","0561412894","","","4779Z","42001960600011","3 ‡ 5","VILLE FRANCIS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROC DU COMMINGES","ZA BORDEBASSE","16 RUE PHILIPPE ETANCELIN","31800","ST GAUDENS","0562001187","","","4779Z","41982355400029","3 ‡ 5","HENSMANS NICOLAS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH EXPRESS AUCH","","44 RUE LORRAINE","32000","AUCH","0562663205","","","4779Z","89903324500015","3 ‡ 5","CAULAT MATHIEU","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH EMERAUDE CASH","ZAC LA MADELEINE","AVENUE FLAUDAIE","35400","ST MALO","0223525440","","","4779Z","52124374100019","6 ‡ 9","LGM","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"COMMUNAUTE EMMAUS INDRE","","8 RUE ECHO","36000","CHATEAUROUX","0254344297","","","4779Z","39949869000037","50 ‡ 99","COMMUNAUTE EMMAUS INDRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AU VIDE GRENIER TOURS NORD","","240 BOULEVARD CHARLES DE GAULLE","37540","ST CYR SUR LOIRE","0627055627","","","4779Z","88451278100011","3 ‡ 5","CHARDAVOINE-ROQUES AGNES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","","15 AVENUE HENRI BARBUSSE","38300","BOURGOIN JALLIEU","0474192228","","","4779Z","52339693500018","6 ‡ 9","GUIRAUD ERIC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","PARC COMMERCIAL GREEN ZAE PLEIN","ROUTE NATIONALE 7","38150","SALAISE SUR SANNE","0474159090","","","4779Z","53986740800020","10 ‡ 19","R HORIZON","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"EASY CASH","","245 RUE LAVOISIER","41350","VINEUIL","0254819000","","","4779Z","82277072300010","3 ‡ 5","JALON OLIVIER","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","28 Ter RUE PAIX ET DES ARTS","44600","ST NAZAIRE","0240198137","","","4779Z","52904704500016","3 ‡ 5","BIGNON PHILIPPE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROCCOM SAINT NAZAIRE","","150 ROUTE COTE D'AMOUR","44600","ST NAZAIRE","0240008498","","","4779Z","38835294000018","3 ‡ 5","FRAPIN LINDA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
